price_open,price_close,ret_adjusted,ref_date,date,hits,keyword,geo,time,gprop,category,lag_trends,double_lag_trends
114837,116222,0.0120781991553098,2021-03-19,2021-03-19T00:00:00Z,65,Ibovespa,world,today 3-m,web,0,64,57
116222,114979,-0.0106950491301131,2021-03-22,2021-03-22T00:00:00Z,54,Ibovespa,world,today 3-m,web,0,65,64
114977,113262,-0.0149331617077901,2021-03-23,2021-03-23T00:00:00Z,53,Ibovespa,world,today 3-m,web,0,54,65
113272,112064,-0.0105772456781621,2021-03-24,2021-03-24T00:00:00Z,61,Ibovespa,world,today 3-m,web,0,53,54
112065,113750,0.0150449743003998,2021-03-25,2021-03-25T00:00:00Z,51,Ibovespa,world,today 3-m,web,0,61,53
113750,114781,0.00906373626373624,2021-03-26,2021-03-26T00:00:00Z,61,Ibovespa,world,today 3-m,web,0,51,61
114776,115419,0.00555841123530887,2021-03-29,2021-03-29T00:00:00Z,58,Ibovespa,world,today 3-m,web,0,61,51
115414,116850,0.0123983053050192,2021-03-30,2021-03-30T00:00:00Z,56,Ibovespa,world,today 3-m,web,0,58,61
116850,116634,-0.00184852374839539,2021-03-31,2021-03-31T00:00:00Z,58,Ibovespa,world,today 3-m,web,0,56,58
116644,115253,-0.0118404581854348,2021-04-01,2021-04-01T00:00:00Z,60,Ibovespa,world,today 3-m,web,0,58,56
115262,117518,0.0196524168568279,2021-04-05,2021-04-05T00:00:00Z,49,Ibovespa,world,today 3-m,web,0,60,58
117519,117499,-0.000161677360064005,2021-04-06,2021-04-06T00:00:00Z,53,Ibovespa,world,today 3-m,web,0,49,60
117499,117624,0.00106383884118166,2021-04-07,2021-04-07T00:00:00Z,50,Ibovespa,world,today 3-m,web,0,53,49
117624,118313,0.00585764809902734,2021-04-08,2021-04-08T00:00:00Z,61,Ibovespa,world,today 3-m,web,0,50,53
