price_open,price.high,price.low,price_close,volume,price.adjusted,ref_date,ticker,ret_adjusted,ret.closing.prices,date,hits,keyword,geo,time,gprop,category
125075,125075,122506,122807,9537600,122807,2021-01-11,^BVSP,,,2021-01-11T00:00:00Z,63,Ibovespa,world,today 3-m,web,0
123255,124584,123227,123998,8949000,123998,2021-01-12,^BVSP,0.00969814424259208,0.00969814424259208,2021-01-12T00:00:00Z,59,Ibovespa,world,today 3-m,web,0
123996,124032,121016,122040,10291500,122040,2021-01-13,^BVSP,-0.0157905772673753,-0.0157905772673753,2021-01-13T00:00:00Z,64,Ibovespa,world,today 3-m,web,0
121947,123896,121947,123481,8974400,123481,2021-01-14,^BVSP,0.0118076040642412,0.0118076040642412,2021-01-14T00:00:00Z,74,Ibovespa,world,today 3-m,web,0
123472,123472,120374,120502,9387600,120502,2021-01-15,^BVSP,-0.0241251690543485,-0.0241251690543485,2021-01-15T00:00:00Z,65,Ibovespa,world,today 3-m,web,0
120351,122586,120351,121242,7223100,121242,2021-01-18,^BVSP,0.00614097691324633,0.00614097691324633,2021-01-18T00:00:00Z,59,Ibovespa,world,today 3-m,web,0
121250,122120,119257,120673,7886000,120673,2021-01-19,^BVSP,-0.00469309315253785,-0.00469309315253785,2021-01-19T00:00:00Z,59,Ibovespa,world,today 3-m,web,0
120645,121449,118740,119708,7947300,119708,2021-01-20,^BVSP,-0.00799681784657713,-0.00799681784657713,2021-01-20T00:00:00Z,66,Ibovespa,world,today 3-m,web,0
119628,120243,117785,118443,8573900,118443,2021-01-21,^BVSP,-0.0105673806261904,-0.0105673806261904,2021-01-21T00:00:00Z,61,Ibovespa,world,today 3-m,web,0
118318,118318,116109,117172,9373100,117172,2021-01-22,^BVSP,-0.0107309000954046,-0.0107309000954046,2021-01-22T00:00:00Z,75,Ibovespa,world,today 3-m,web,0
117381,119167,116109,116464,10681400,116464,2021-01-26,^BVSP,-0.00604239920800187,-0.00604239920800187,2021-01-26T00:00:00Z,66,Ibovespa,world,today 3-m,web,0
116463,117840,114887,115882,12380400,115882,2021-01-27,^BVSP,-0.00499725236983106,-0.00499725236983106,2021-01-27T00:00:00Z,71,Ibovespa,world,today 3-m,web,0
115882,119314,115734,119314,12065900,119314,2021-01-28,^BVSP,0.0296163338568545,0.0296163338568545,2021-01-28T00:00:00Z,62,Ibovespa,world,today 3-m,web,0
118880,118880,115299,116007,10965200,116007,2021-01-29,^BVSP,-0.0277167809309888,-0.0277167809309888,2021-01-29T00:00:00Z,65,Ibovespa,world,today 3-m,web,0
115093,117862,115093,117365,8716500,117365,2021-02-01,^BVSP,0.0117061901436981,0.0117061901436981,2021-02-01T00:00:00Z,58,Ibovespa,world,today 3-m,web,0
117520,119805,117519,118234,11625900,118234,2021-02-02,^BVSP,0.00740425169343495,0.00740425169343495,2021-02-02T00:00:00Z,65,Ibovespa,world,today 3-m,web,0
118235,120210,118234,119725,8704300,119725,2021-02-03,^BVSP,0.0126105857875061,0.0126105857875061,2021-02-03T00:00:00Z,58,Ibovespa,world,today 3-m,web,0
119728,120560,118918,119261,8100700,119261,2021-02-04,^BVSP,-0.00387554813113389,-0.00387554813113389,2021-02-04T00:00:00Z,64,Ibovespa,world,today 3-m,web,0
119261,121117,119261,119925,8208400,119925,2021-02-05,^BVSP,0.00556762059684224,0.00556762059684224,2021-02-05T00:00:00Z,53,Ibovespa,world,today 3-m,web,0
120239,120844,119140,119516,8619100,119516,2021-02-08,^BVSP,-0.00341046487387953,-0.00341046487387953,2021-02-08T00:00:00Z,55,Ibovespa,world,today 3-m,web,0
119696,119975,118246,119429,7913500,119429,2021-02-09,^BVSP,-0.000727936008567909,-0.000727936008567909,2021-02-09T00:00:00Z,54,Ibovespa,world,today 3-m,web,0
119472,119738,117970,118430,8644600,118430,2021-02-10,^BVSP,-0.00836480251865124,-0.00836480251865124,2021-02-10T00:00:00Z,55,Ibovespa,world,today 3-m,web,0
118440,120283,118440,119235,7567400,119235,2021-02-11,^BVSP,0.00679726420670446,0.00679726420670446,2021-02-11T00:00:00Z,50,Ibovespa,world,today 3-m,web,0
119300,119763,118163,119116,7655900,119116,2021-02-12,^BVSP,-0.000998029102193154,-0.000998029102193154,2021-02-12T00:00:00Z,54,Ibovespa,world,today 3-m,web,0
120361,120845,118515,119140,10720600,119140,2021-02-18,^BVSP,0.000201484267436713,0.000201484267436713,2021-02-18T00:00:00Z,48,Ibovespa,world,today 3-m,web,0
